secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,rate
108105,19960104,64881510,SPX,9999,1,32768,,A,,2.460492
108105,19960105,64881510,SPX,9999,1,32768,,A,,2.49241
108105,19960108,64881510,SPX,9999,1,32768,,A,,2.612404
108105,19960109,64881510,SPX,9999,1,32768,,A,,2.454958
108105,19960110,64881510,SPX,9999,1,32768,,A,,2.510953
108105,19960111,64881510,SPX,9999,1,32768,,A,,2.551969
108105,19960112,64881510,SPX,9999,1,32768,,A,,2.623024
108105,19960115,64881510,SPX,9999,1,32768,,A,,2.686903
108105,19960116,64881510,SPX,9999,1,32768,,A,,2.705258
108105,19960117,64881510,SPX,9999,1,32768,,A,,2.700544
108105,19960118,64881510,SPX,9999,1,32768,,A,,2.721783
108105,19960119,64881510,SPX,9999,1,32768,,A,,2.739912
108105,19960122,64881510,SPX,9999,1,32768,,A,,2.758921
108105,19960123,64881510,SPX,9999,1,32768,,A,,2.785162
108105,19960124,64881510,SPX,9999,1,32768,,A,,2.803339
108105,19960125,64881510,SPX,9999,1,32768,,A,,2.816391
108105,19960126,64881510,SPX,9999,1,32768,,A,,2.826382
108105,19960129,64881510,SPX,9999,1,32768,,A,,2.842607
108105,19960130,64881510,SPX,9999,1,32768,,A,,2.83215
108105,19960131,64881510,SPX,9999,1,32768,,A,,2.822678
108105,19960201,64881510,SPX,9999,1,32768,,A,,2.823909
108105,19960202,64881510,SPX,9999,1,32768,,A,,2.822176
108105,19960205,64881510,SPX,9999,1,32768,,A,,2.845278
108105,19960206,64881510,SPX,9999,1,32768,,A,,2.825497
108105,19960207,64881510,SPX,9999,1,32768,,A,,2.82049
108105,19960208,64881510,SPX,9999,1,32768,,A,,2.809579
108105,19960209,64881510,SPX,9999,1,32768,,A,,2.788024
108105,19960212,64881510,SPX,9999,1,32768,,A,,2.75278
108105,19960213,64881510,SPX,9999,1,32768,,A,,2.496155
108105,19960214,64881510,SPX,9999,1,32768,,A,,2.506783
108105,19960215,64881510,SPX,9999,1,32768,,A,,2.493405
108105,19960216,64881510,SPX,9999,1,32768,,A,,2.513529
108105,19960220,64881510,SPX,9999,1,32768,,A,,2.555213
108105,19960221,64881510,SPX,9999,1,32768,,A,,2.547903
108105,19960222,64881510,SPX,9999,1,32768,,A,,2.543811
108105,19960223,64881510,SPX,9999,1,32768,,A,,2.551171
108105,19960226,64881510,SPX,9999,1,32768,,A,,2.567553
108105,19960227,64881510,SPX,9999,1,32768,,A,,2.57041
108105,19960228,64881510,SPX,9999,1,32768,,A,,2.562534
108105,19960229,64881510,SPX,9999,1,32768,,A,,2.577888
108105,19960301,64881510,SPX,9999,1,32768,,A,,2.590057
108105,19960304,64881510,SPX,9999,1,32768,,A,,2.591529
108105,19960305,64881510,SPX,9999,1,32768,,A,,2.568813
108105,19960306,64881510,SPX,9999,1,32768,,A,,2.563814
108105,19960307,64881510,SPX,9999,1,32768,,A,,2.550456
108105,19960308,64881510,SPX,9999,1,32768,,A,,2.539946
108105,19960311,64881510,SPX,9999,1,32768,,A,,2.53699
108105,19960312,64881510,SPX,9999,1,32768,,A,,2.531494
108105,19960313,64881510,SPX,9999,1,32768,,A,,2.524104
108105,19960314,64881510,SPX,9999,1,32768,,A,,2.510274
