secid,date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,index_flag,issuer,exercise_style
108105,19960104,09CD8.9D,19970621,,C,625000,45.875,46.875,0,988,0.132372,10279069,1,CBOE S&P 500 INDEX,E
108105,19960104,09CD8.FA,19960622,19960104,C,700000,0.75,1,10,20,0.098854,10279162,1,CBOE S&P 500 INDEX,E
108105,19960104,0995C.60,19970621,,C,700000,15.375,16.125,0,111,0.120886,10050656,1,CBOE S&P 500 INDEX,E
108105,19960104,09E43.AC,19960316,19960104,C,615000,14.625,15.375,10,1398,0.107921,10372012,1,CBOE S&P 500 INDEX,E
108105,19960104,09E44.BC,19961221,,C,700000,6.75,7.25,0,161,0.111796,10372284,1,CBOE S&P 500 INDEX,E
108105,19960104,09D8E.E4,19960622,,C,400000,218.5,219.5,0,29,,10325732,1,CBOE S&P 500 INDEX,E
108105,19960104,09CDF.09,19960120,19960104,P,590000,1,1.25,4904,438,0.191383,10280713,1,CBOE S&P 500 INDEX,E
108105,19960104,09DCD.A4,19960622,,C,625000,19.125,19.875,0,612,0.114211,10341796,1,CBOE S&P 500 INDEX,E
108105,19960104,09CE4.D2,19960120,,C,640000,0.1875,0.375,0,6593,0.106867,10282194,1,CBOE S&P 500 INDEX,E
108105,19960104,09F47.7B,19960921,19960104,P,500000,2.375,2.75,502,2846,0.185496,10438523,1,CBOE S&P 500 INDEX,E
108105,19960104,09D98.8A,19960622,,C,600000,34.875,35.875,0,9837,0.123531,10328202,1,CBOE S&P 500 INDEX,E
108105,19960104,09968.5C,19971220,,P,550000,16.25,17,0,0,0.165006,10053724,1,CBOE S&P 500 INDEX,E
108105,19960104,09F4B.66,19961221,,C,675000,13.5,14,0,930,0.119432,10439526,1,CBOE S&P 500 INDEX,E
108105,19960104,09D9E.A9,19960622,,C,525000,98.75,99.75,0,4843,0.131946,10329769,1,CBOE S&P 500 INDEX,E
108105,19960104,09F89.01,19960622,,C,585000,46.125,47.125,0,5475,0.128239,10455297,1,CBOE S&P 500 INDEX,E
108105,19960104,09FB1.C9,19960217,19960104,P,605000,4.875,5.375,12,8234,0.13366,10465737,1,CBOE S&P 500 INDEX,E
108105,19960104,0996E.67,19960217,19960104,P,625000,12.25,13,1342,1874,0.118755,10055271,1,CBOE S&P 500 INDEX,E
108105,19960104,09D69.A9,19960120,19960104,P,595000,1.375,1.625,1818,8613,0.181116,10316201,1,CBOE S&P 500 INDEX,E
108105,19960104,09D6A.71,19960217,,C,555000,62.625,63.625,0,1950,,10316401,1,CBOE S&P 500 INDEX,E
108105,19960104,09D6B.77,19961221,,C,450000,175,176,0,28,0.125997,10316663,1,CBOE S&P 500 INDEX,E
108105,19960104,09E63.A0,19960316,,C,400000,216.5,217.5,0,416,,10380192,1,CBOE S&P 500 INDEX,E
108105,19960104,09DE8.A8,19971220,,C,625000,58.25,59.25,0,0,0.141463,10348712,1,CBOE S&P 500 INDEX,E
108105,19960104,09F5C.38,19960921,,P,520000,3.125,3.5,0,902,0.170747,10443832,1,CBOE S&P 500 INDEX,E
108105,19960104,09CFD.73,19960622,,C,475000,146.125,147.125,0,2700,,10288499,1,CBOE S&P 500 INDEX,E
108105,19960104,09E29.98,19960622,,C,500000,122.25,123.25,0,2990,,10365336,1,CBOE S&P 500 INDEX,E
108105,19960104,09D73.5B,19960316,19960104,C,660000,1.0625,1.25,100,340,0.101831,10318683,1,CBOE S&P 500 INDEX,E
108105,19960104,09E68.10,19960316,19960104,C,675000,0.1875,0.375,60,2148,0.097844,10381328,1,CBOE S&P 500 INDEX,E
108105,19960104,09D73.AC,19971220,,C,650000,45,46,0,0,0.135894,10318764,1,CBOE S&P 500 INDEX,E
108105,19960104,09FC0.F3,19960316,19960104,C,650000,2.25,2.75,65,6407,0.10476,10469619,1,CBOE S&P 500 INDEX,E
108105,19960104,09E68.F3,19960120,19960104,C,650000,0.0625,0.125,317,617,0.120305,10381555,1,CBOE S&P 500 INDEX,E
108105,19960104,09D00.37,19960217,,C,560000,57.75,58.75,0,5900,,10289207,1,CBOE S&P 500 INDEX,E
108105,19960104,09FC2.85,19960316,19960104,C,620000,11.625,12.375,5,2889,0.105047,10470021,1,CBOE S&P 500 INDEX,E
108105,19960104,09DF5.BA,19960316,,C,645000,2.5,2.875,0,205,0.095577,10352058,1,CBOE S&P 500 INDEX,E
108105,19960104,09F28.E5,19960217,19960104,P,630000,15.75,16.5,7,7391,0.123836,10430693,1,CBOE S&P 500 INDEX,E
108105,19960104,09983.14,19960217,19960104,C,615000,10.625,11.375,13,1364,0.099821,10060564,1,CBOE S&P 500 INDEX,E
108105,19960104,09F6B.49,19960622,19960104,C,620000,22,23,146,855,0.117183,10447689,1,CBOE S&P 500 INDEX,E
108105,19960104,09F2C.86,19960316,,P,565000,2,2.25,0,5458,0.171084,10431622,1,CBOE S&P 500 INDEX,E
108105,19960104,09D03.E2,19960316,19960104,C,610000,17.625,18.375,50,1515,0.107675,10290146,1,CBOE S&P 500 INDEX,E
108105,19960104,09FCC.F1,19960921,19960104,P,525000,3,3.25,100,1826,0.161754,10472689,1,CBOE S&P 500 INDEX,E
108105,19960104,0A02F.38,19970621,19960104,P,500000,6,6.875,10,1488,0.17593,10497848,1,CBOE S&P 500 INDEX,E
108105,19960104,0A074.E2,19960217,19960104,P,570000,1.125,1.375,100,8742,0.175334,10515682,1,CBOE S&P 500 INDEX,E
108105,19960104,0A03A.FD,19961221,,C,600000,55.75,56.25,0,761,0.162934,10500861,1,CBOE S&P 500 INDEX,E
108105,19960104,0A03B.B9,19960316,,P,540000,0.75,1,0,9644,0.189102,10501049,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0B0.CA,19960120,,P,640000,23.375,24.375,0,970,0.19409,10531018,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0B1.9C,19960622,19960104,C,650000,9,9.375,853,6354,0.109804,10531228,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0B2.40,19970621,,C,675000,23.375,24.375,0,1450,0.125249,10531392,1,CBOE S&P 500 INDEX,E
108105,19960104,0A264.50,19960120,,C,545000,70.5,71.5,0,573,,10642512,1,CBOE S&P 500 INDEX,E
108105,19960104,0A1EF.13,19960316,19960104,C,605000,21,22,23,181,0.109388,10612499,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0FB.DD,19960316,,P,535000,0.5,0.6875,0,51,0.185621,10550237,1,CBOE S&P 500 INDEX,E
108105,19960104,0A086.E6,19960217,19960104,P,500000,0.0625,0.125,10,10,0.253159,10520294,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0FC.E5,19960316,19960104,P,590000,4,4.5,9,7325,0.142591,10550501,1,CBOE S&P 500 INDEX,E
108105,19960104,0A103.55,19960120,,P,555000,0.125,0.25,0,862,0.261797,10552149,1,CBOE S&P 500 INDEX,E
108105,19960104,0A235.1C,19960316,,C,450000,167.125,168.125,0,424,,10630428,1,CBOE S&P 500 INDEX,E
108105,19960104,0A183.E3,19960217,,P,550000,0.375,0.5625,0,1135,0.190634,10585059,1,CBOE S&P 500 INDEX,E
108105,19960104,0A1BE.09,19960622,19960104,P,590000,9,9.75,26,6257,0.142428,10599945,1,CBOE S&P 500 INDEX,E
108105,19960104,0A144.B9,19960217,,C,600000,21.125,22.125,0,398,0.098828,10568889,1,CBOE S&P 500 INDEX,E
108105,19960104,0A18C.0F,19960120,,P,645000,28.25,29.25,0,0,0.217001,10587151,1,CBOE S&P 500 INDEX,E
108105,19960104,0A065.8A,19960120,19960104,C,600000,17.125,17.875,3,1090,,10511754,1,CBOE S&P 500 INDEX,E
108105,19960104,0A324.73,19960622,,P,660000,38.875,39.875,0,40,0.10896,10691699,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0D2.6D,19960316,19960104,P,500000,0.25,0.5,500,423,0.237011,10539629,1,CBOE S&P 500 INDEX,E
108105,19960104,0A2BA.5D,19960316,,C,540000,78.75,79.75,0,2843,,10664541,1,CBOE S&P 500 INDEX,E
108105,19960104,0A028.03,19960316,19960104,P,605000,6.75,7.25,300,1452,0.128507,10496003,1,CBOE S&P 500 INDEX,E
108105,19960104,0A2F0.9E,19971220,,C,575000,90,91,0,0,0.155147,10678430,1,CBOE S&P 500 INDEX,E
108105,19960104,0A207.C8,19960316,19960104,P,585000,3.375,3.75,25,1726,0.146618,10618824,1,CBOE S&P 500 INDEX,E
108105,19960104,0A151.21,19961221,,C,650000,22.125,23.125,0,2428,0.123296,10572065,1,CBOE S&P 500 INDEX,E
108105,19960104,0A1D1.20,19961221,,P,375000,0.25,0.5,0,1239,0.232638,10604832,1,CBOE S&P 500 INDEX,E
108105,19960104,0A2C1.DE,19960316,19960104,P,620000,11.5,12,625,8316,0.116092,10666462,1,CBOE S&P 500 INDEX,E
108105,19960104,0A0A7.DC,19960921,,P,595000,13.625,14.375,0,32,0.140358,10528732,1,CBOE S&P 500 INDEX,E
108105,19960104,0A248.F2,19960622,,C,660000,5.25,5.75,0,45,0.101065,10635506,1,CBOE S&P 500 INDEX,E
108105,19960104,0A15B.AD,19960120,19960104,P,575000,0.4375,0.6875,60,5064,0.227222,10574765,1,CBOE S&P 500 INDEX,E
108105,19960104,0A2C6.5C,19971220,,C,525000,124.625,125.625,0,0,0.159531,10667612,1,CBOE S&P 500 INDEX,E
108105,19960104,0A35B.31,19960217,19960104,C,595000,25.25,26.25,3,34,0.094812,10705713,1,CBOE S&P 500 INDEX,E
108105,19960104,0A2C9.07,19960120,,P,530000,0,0.125,0,1637,0.310949,10668295,1,CBOE S&P 500 INDEX,E
108105,19960104,0A1A3.17,19960217,,C,605000,17.375,18.125,0,953,0.10024,10593047,1,CBOE S&P 500 INDEX,E
108105,19960104,0A28F.F2,19960217,19960104,P,555000,0.625,0.875,100,1968,0.194975,10653682,1,CBOE S&P 500 INDEX,E
108105,19960104,0A1E0.9F,19970621,,C,650000,32.875,33.875,0,400,0.126627,10608799,1,CBOE S&P 500 INDEX,E
108105,19960104,0A21B.9C,19960217,19960104,P,615000,7.75,8.25,252,4628,0.123943,10623900,1,CBOE S&P 500 INDEX,E
108105,19960104,0A450.20,19960120,,P,550000,0.125,0.1875,0,3259,0.273457,10768416,1,CBOE S&P 500 INDEX,E
108105,19960104,0A3DA.AD,19971220,,P,600000,26.75,27.75,0,0,0.14977,10738349,1,CBOE S&P 500 INDEX,E
108105,19960104,0A48C.51,19960316,19960104,C,530000,88.5,89.5,202,7660,,10783825,1,CBOE S&P 500 INDEX,E
108105,19960104,0A30A.0F,19960622,,C,665000,4.375,4.75,0,980,0.101255,10684943,1,CBOE S&P 500 INDEX,E
108105,19960104,0A36F.41,19960120,19960104,C,620000,4.5,4.875,2606,6635,0.112168,10710849,1,CBOE S&P 500 INDEX,E
108105,19960104,0A3B2.EE,19960217,19960104,P,560000,0.75,1,440,8407,0.187951,10728174,1,CBOE S&P 500 INDEX,E
108105,19960104,0A466.EA,19960622,,P,565000,4.625,5,0,7933,0.150132,10774250,1,CBOE S&P 500 INDEX,E
108105,19960104,0A4D8.0E,19960622,,P,475000,0.5625,0.8125,0,1289,0.207005,10803214,1,CBOE S&P 500 INDEX,E
108105,19960104,0A46A.6C,19960217,19960104,P,580000,1.75,2,20,3386,0.164263,10775148,1,CBOE S&P 500 INDEX,E
108105,19960104,0A5C6.01,19960921,,P,560000,6.875,7.375,0,2151,0.152939,10864129,1,CBOE S&P 500 INDEX,E
108105,19960104,0A3C2.9C,19960622,19960104,P,625000,18.875,19.625,206,3710,0.120435,10732188,1,CBOE S&P 500 INDEX,E
108105,19960104,0A4E0.40,19960622,,C,575000,54.375,55.375,0,5218,0.132852,10805312,1,CBOE S&P 500 INDEX,E
108105,19960104,0A559.FF,19960217,19960104,P,585000,2.125,2.625,10,1866,0.16029,10836479,1,CBOE S&P 500 INDEX,E
108105,19960104,0A473.04,19970621,,C,550000,95.25,97.25,0,105,0.14626,10777348,1,CBOE S&P 500 INDEX,E
108105,19960104,0A521.01,19961221,,P,450000,1.5,1.75,0,4256,0.200935,10821889,1,CBOE S&P 500 INDEX,E
108105,19960104,0A4A8.BC,19960921,19960104,P,600000,14.875,15.625,4,6847,0.13806,10791100,1,CBOE S&P 500 INDEX,E
108105,19960104,0A43C.11,19960622,,P,560000,4.125,4.5,0,4994,0.153246,10763281,1,CBOE S&P 500 INDEX,E
108105,19960104,0A43D.50,19960120,19960104,C,605000,12.875,13.625,41,3058,,10763600,1,CBOE S&P 500 INDEX,E
108105,19960104,0A43D.78,19960316,19960104,C,500000,117.875,118.875,45,2423,,10763640,1,CBOE S&P 500 INDEX,E
108105,19960104,0A527.A9,19960120,19960104,C,615000,7.5,8,465,4270,0.121763,10823593,1,CBOE S&P 500 INDEX,E
